Timestamp,StatusCode,Latency_ms,ErrorType,ErrorDetail
2026-07-26T03:12:25.123018+00:00,200,234,,
2026-07-26T03:12:35.367594+00:00,200,243,,
2026-07-26T03:12:45.611716+00:00,200,243,,
2026-07-26T03:12:55.840543+00:00,200,227,,
2026-07-26T03:13:06.044211+00:00,200,201,,
2026-07-26T03:13:16.253260+00:00,200,206,,
2026-07-26T03:13:26.464697+00:00,200,210,,
2026-07-26T03:13:36.663710+00:00,200,197,,
2026-07-26T03:13:46.862183+00:00,200,196,,
2026-07-26T03:13:57.034956+00:00,200,170,,
2026-07-26T03:14:07.206491+00:00,200,152,,
2026-07-26T03:14:17.435334+00:00,200,227,,
2026-07-26T03:14:27.622184+00:00,200,185,,
2026-07-26T03:14:37.971579+00:00,200,348,,
2026-07-26T03:14:48.182486+00:00,200,209,,
2026-07-26T03:14:58.358619+00:00,200,174,,
2026-07-26T03:15:08.580944+00:00,200,211,,
2026-07-26T03:15:18.815707+00:00,200,233,,
2026-07-26T03:15:29.061510+00:00,200,244,,
2026-07-26T03:15:39.385879+00:00,200,322,,
2026-07-26T03:15:49.735395+00:00,200,348,,
2026-07-26T03:16:00.124744+00:00,200,387,,
2026-07-26T03:16:10.361638+00:00,200,235,,
2026-07-26T03:16:20.542538+00:00,200,179,,
2026-07-26T03:16:30.747525+00:00,200,203,,
2026-07-26T03:16:41.015327+00:00,200,266,,
2026-07-26T03:16:51.222722+00:00,200,206,,
2026-07-26T03:17:01.464383+00:00,200,239,,
2026-07-26T03:17:11.671153+00:00,200,205,,
2026-07-26T03:17:21.887081+00:00,200,213,,
2026-07-26T03:17:32.061915+00:00,200,173,,
2026-07-26T03:17:42.266386+00:00,200,203,,
2026-07-26T03:17:52.431762+00:00,200,164,,
2026-07-26T03:18:02.610144+00:00,200,177,,
2026-07-26T03:18:12.798908+00:00,200,187,,
2026-07-26T03:18:23.032024+00:00,200,231,,
2026-07-26T03:18:33.200185+00:00,200,166,,
2026-07-26T03:18:43.433855+00:00,200,232,,
2026-07-26T03:18:53.637036+00:00,200,201,,
2026-07-26T03:19:03.858702+00:00,200,220,,
2026-07-26T03:19:14.065137+00:00,200,204,,
2026-07-26T03:19:24.303373+00:00,200,236,,
2026-07-26T03:19:34.531072+00:00,200,226,,
2026-07-26T03:19:44.744111+00:00,200,211,,
2026-07-26T03:19:54.963250+00:00,200,217,,
2026-07-26T03:20:05.207520+00:00,200,242,,
2026-07-26T03:20:15.413346+00:00,200,203,,
2026-07-26T03:20:25.617808+00:00,200,202,,
2026-07-26T03:20:35.871971+00:00,200,252,,
2026-07-26T03:20:46.041993+00:00,200,168,,
2026-07-26T03:20:56.264734+00:00,200,221,,
2026-07-26T03:21:06.477285+00:00,200,210,,
2026-07-26T03:21:16.715162+00:00,200,236,,
2026-07-26T03:21:26.961517+00:00,200,244,,
2026-07-26T03:21:37.194743+00:00,200,231,,
2026-07-26T03:21:47.444730+00:00,200,247,,
2026-07-26T03:21:57.645915+00:00,200,199,,
2026-07-26T03:22:07.869742+00:00,200,222,,
2026-07-26T03:22:18.051513+00:00,200,180,,
2026-07-26T03:22:28.271871+00:00,200,218,,
2026-07-26T03:22:38.485418+00:00,200,211,,
2026-07-26T03:22:48.869106+00:00,200,382,,
2026-07-26T03:22:59.083467+00:00,200,212,,
2026-07-26T03:23:09.284152+00:00,200,199,,
2026-07-26T03:23:19.741302+00:00,200,455,,
2026-07-26T03:23:29.951564+00:00,404,208,HTTPError,
2026-07-26T03:23:40.244472+00:00,502,291,GatewayError,
2026-07-26T03:23:50.448136+00:00,200,202,,
2026-07-26T03:24:00.731168+00:00,200,280,,
2026-07-26T03:24:11.019294+00:00,200,285,,
2026-07-26T03:24:21.313968+00:00,200,291,,
2026-07-26T03:24:31.541153+00:00,200,224,,
2026-07-26T03:24:41.722083+00:00,200,179,,
2026-07-26T03:24:51.913999+00:00,200,190,,
2026-07-26T03:25:02.177300+00:00,200,262,,
2026-07-26T03:25:12.360671+00:00,200,181,,
2026-07-26T03:25:22.571633+00:00,200,210,,
2026-07-26T03:25:32.928806+00:00,200,355,,
2026-07-26T03:25:43.124514+00:00,200,194,,
2026-07-26T03:25:53.315393+00:00,200,189,,
2026-07-26T03:26:03.570950+00:00,200,253,,
2026-07-26T03:26:13.890387+00:00,200,317,,
2026-07-26T03:26:24.121506+00:00,200,228,,
